classe_consommation_energie,clean_dep,year_etablissement,nombre_batiments
A,01,2013.0,326
A,01,2014.0,748
A,01,2015.0,911
A,01,2016.0,1068
A,01,2017.0,1054
A,01,2018.0,1269
A,01,2019.0,1088
A,01,2020.0,1030
A,01,2021.0,643
B,01,2013.0,605
B,01,2014.0,1901
B,01,2015.0,2148
B,01,2016.0,2280
B,01,2017.0,2243
B,01,2018.0,1992
B,01,2019.0,2387
B,01,2020.0,2449
B,01,2021.0,1465
C,01,2011.0,1
C,01,2013.0,629
C,01,2014.0,1314
C,01,2015.0,1765
C,01,2016.0,1746
C,01,2017.0,2105
C,01,2018.0,3369
C,01,2019.0,2496
C,01,2020.0,2432
C,01,2021.0,1576
D,01,2010.0,1
D,01,2013.0,1294
D,01,2014.0,2196
D,01,2015.0,2834
D,01,2016.0,2695
D,01,2017.0,3059
D,01,2018.0,4032
D,01,2019.0,3356
D,01,2020.0,3510
D,01,2021.0,2513
E,01,2011.0,1
E,01,2013.0,1280
E,01,2014.0,2329
E,01,2015.0,2683
E,01,2016.0,2395
E,01,2017.0,2245
E,01,2018.0,2867
E,01,2019.0,2848
E,01,2020.0,2807
E,01,2021.0,1927
F,01,2013.0,571
F,01,2014.0,1018
F,01,2015.0,871
F,01,2016.0,832
F,01,2017.0,859
F,01,2018.0,1092
F,01,2019.0,1103
F,01,2020.0,909
F,01,2021.0,780
G,01,2013.0,239
G,01,2014.0,322
G,01,2015.0,329
G,01,2016.0,293
G,01,2017.0,269
G,01,2018.0,356
G,01,2019.0,295
G,01,2020.0,269
G,01,2021.0,182
N,01,2012.0,1
N,01,2013.0,594
N,01,2014.0,1761
N,01,2015.0,1691
N,01,2016.0,1937
N,01,2017.0,1785
N,01,2018.0,2295
N,01,2019.0,2397
N,01,2020.0,2312
N,01,2021.0,1388
A,02,2013.0,18
A,02,2014.0,63
A,02,2015.0,212
A,02,2016.0,289
A,02,2017.0,155
A,02,2018.0,173
A,02,2019.0,163
A,02,2020.0,297
A,02,2021.0,147
B,02,2013.0,102
B,02,2014.0,642
B,02,2015.0,403
B,02,2016.0,587
B,02,2017.0,419
B,02,2018.0,434
B,02,2019.0,586
B,02,2020.0,592
B,02,2021.0,277
C,02,2011.0,1
C,02,2013.0,169
C,02,2014.0,305
C,02,2015.0,574
C,02,2016.0,365
C,02,2017.0,421
C,02,2018.0,429
C,02,2019.0,499
C,02,2020.0,452
C,02,2021.0,259
D,02,2013.0,688
D,02,2014.0,1257
D,02,2015.0,1488
D,02,2016.0,1189
D,02,2017.0,1196
D,02,2018.0,2793
D,02,2019.0,3329
D,02,2020.0,1302
D,02,2021.0,825
E,02,2013.0,808
E,02,2014.0,1416
E,02,2015.0,1654
E,02,2016.0,1287
E,02,2017.0,1364
E,02,2018.0,1696
E,02,2019.0,2457
E,02,2020.0,1531
E,02,2021.0,1072
F,02,2013.0,476
F,02,2014.0,801
F,02,2015.0,878
F,02,2016.0,680
F,02,2017.0,818
F,02,2018.0,719
F,02,2019.0,770
F,02,2020.0,876
F,02,2021.0,499
G,02,2013.0,263
G,02,2014.0,364
G,02,2015.0,355
G,02,2016.0,298
G,02,2017.0,276
G,02,2018.0,288
G,02,2019.0,295
G,02,2020.0,470
G,02,2021.0,194
N,02,2013.0,787
N,02,2014.0,1591
N,02,2015.0,1570
N,02,2016.0,1628
N,02,2017.0,1663
N,02,2018.0,1881
N,02,2019.0,2157
N,02,2020.0,2092
N,02,2021.0,1339
A,03,2012.0,1
A,03,2013.0,146
A,03,2014.0,226
A,03,2015.0,180
A,03,2016.0,317
A,03,2017.0,466
A,03,2018.0,691
A,03,2019.0,486
A,03,2020.0,438
A,03,2021.0,287
B,03,2013.0,54
B,03,2014.0,185
B,03,2015.0,225
B,03,2016.0,319
B,03,2017.0,271
B,03,2018.0,285
B,03,2019.0,291
B,03,2020.0,238
B,03,2021.0,208
C,03,2013.0,147
C,03,2014.0,392
C,03,2015.0,426
C,03,2016.0,590
C,03,2017.0,1437
C,03,2018.0,1013
C,03,2019.0,597
C,03,2020.0,496
C,03,2021.0,432
D,03,2013.0,529
D,03,2014.0,976
D,03,2015.0,951
D,03,2016.0,1020
D,03,2017.0,1926
D,03,2018.0,1411
D,03,2019.0,1281
D,03,2020.0,1205
D,03,2021.0,757
E,03,2007.0,1
E,03,2013.0,680
E,03,2014.0,999
E,03,2015.0,964
E,03,2016.0,891
E,03,2017.0,1136
E,03,2018.0,1170
E,03,2019.0,1137
E,03,2020.0,1105
E,03,2021.0,726
F,03,2013.0,375
F,03,2014.0,601
F,03,2015.0,510
F,03,2016.0,471
F,03,2017.0,532
F,03,2018.0,537
F,03,2019.0,583
F,03,2020.0,495
F,03,2021.0,342
G,03,2012.0,1
G,03,2013.0,189
G,03,2014.0,303
G,03,2015.0,203
G,03,2016.0,197
