classe_consommation_energie;clean_dep;nombre_batiments
-;2A;1
-;43;1
-;59;3
-;62;1
-;81;1
-;82;1
-;92;5
0;67;1
3;84;1
4;67;7
5;67;20
5;68;11
6;67;10
6;68;15
7;67;3
7;68;3
8;68;2
A;1;8137
A;2;1517
A;3;3238
A;4;951
A;5;186
A;6;13341
A;7;4617
A;8;1185
A;9;527
A;10;737
A;11;6139
A;12;2347
A;13;51934
A;14;6141
A;15;256
A;16;4078
A;17;13237
A;18;2291
A;19;1054
A;21;5919
A;22;7047
A;23;274
A;24;6868
A;25;2140
A;26;10245
A;27;4762
A;28;1821
A;29;11631
A;2A;2838
A;2B;1051
A;30;15871
A;31;49330
A;32;2290
A;33;61131
A;34;44039
A;35;19119
A;36;1668
A;37;11269
A;38;13443
A;39;1025
A;40;12279
A;41;2928
A;42;6873
A;43;174
A;44;36688
A;45;1811
A;46;2322
A;47;3080
A;48;144
A;49;14223
A;50;3092
A;51;1582
A;52;690
A;53;3729
A;54;2991
A;55;212
A;56;11764
A;57;4102
A;58;1297
A;59;16375
A;60;3815
A;61;1801
A;62;8079
A;63;7432
A;64;16134
A;65;1751
A;66;11338
A;67;7726
A;68;5007
A;69;21216
A;70;454
A;71;5039
A;72;6079
A;73;4966
A;74;3567
A;75;15213
A;76;10243
A;77;11942
A;78;8040
A;79;3717
A;80;4602
A;81;5359
A;82;3363
A;83;26854
A;84;10466
A;85;12541
A;86;8274
A;87;1641
A;88;893
A;89;2318
A;90;579
A;91;9158
A;92;9345
A;93;8986
A;94;5235
A;95;6690
B;1;17470
B;2;4042
B;3;2076
B;4;1433
B;5;1357
B;6;10457
B;7;2274
B;8;2945
B;9;804
B;10;4787
B;11;3652
B;12;3028
B;13;30053
B;14;19401
B;15;1513
B;16;2205
B;17;13689
B;18;1307
B;19;1870
B;21;12327
B;22;9354
B;23;479
B;24;2295
B;25;9196
B;26;4330
B;27;8142
B;28;5500
B;29;16234
B;2A;1345
B;2B;1467
B;30;7507
B;31;37272
B;32;1171
B;33;38996
B;34;23752
B;35;33811
B;36;751
B;37;9779
B;38;28443
B;39;2426
B;40;7942
B;41;2861
B;42;10221
B;43;1693
B;44;44262
B;45;13743
B;46;756
B;47;1727
B;48;447
B;49;13849
B;50;5348
B;51;13664
B;52;2104
B;53;3427
B;54;11623
B;55;593
B;56;16967
B;57;19513
B;58;1320
B;59;46499
B;60;12371
B;61;1454
B;62;20134
B;63;11866
B;64;12589
B;65;4192
B;66;7078
B;67;38466
B;68;15222
B;69;55947
B;70;1722
B;71;5713
B;72;4358
B;73;9358
B;74;29724
B;75;16729
B;76;24602
B;77;39313
B;78;37354
B;79;3236
B;80;8849
B;81;2795
B;82;1261
B;83;15904
B;84;6658
B;85;10523
B;86;4346
B;87;4119
B;88;2712
B;89;2657
B;90;1701
B;91;37229
B;92;39947
B;93;48803
B;94;33278
B;95;35392
C;1;17433
C;2;3474
C;3;5530
C;4;2742
C;5;2328
C;6;45499
C;7;5774
C;8;7233
C;9;2426
C;10;4992
C;11;9702
C;12;3587
C;13;75147
C;14;17289
C;15;1132
C;16;6318
C;17;20872
C;18;3500
C;19;2799
C;21;13387
C;22;12404
C;23;1467
C;24;6071
C;25;11446
C;26;13073
C;27;10478
C;28;5440
C;29;19954
C;2A;4561
C;2B;4395
C;30;25506
C;31;38567
C;32;3414
C;33;51440
C;34;42034
C;35;39541
C;36;4407
C;37;13877
C;38;30478
C;39;4961
C;40;14459
C;41;5014
C;42;16524
C;43;2258
C;44;45485
C;45;15223
C;46;2223
C;47;5994
C;48;400
C;49;28019
C;50;7978
C;51;9885
C;52;3452
C;53;9605
C;54;21845
C;55;1695
C;56;16393
C;57;27463
C;58;1470
C;59;56718
C;60;14555
C;61;3291
C;62;26570
C;63;14328
C;64;22186
C;65;7048
C;66;20492
C;67;31329
C;68;18126
C;69;61014
C;70;2295
C;71;8707
C;72;13746
C;73;11329
C;74;17051
C;75;24658
C;76;27376
C;77;19351
C;78;22667
C;79;10445
C;80;13065
C;81;7165
C;82;3915
C;83;48317
C;84;18763
C;85;17735
C;86;19481
C;87;9111
C;88;6141
C;89;3695
C;90;2974
C;91;19625
C;92;25233
C;93;21831
C;94;19837
C;95;19934
D;1;25490
D;2;14067
D;3;10056
D;4;6202
D;5;5075
D;6;79754
D;7;9854
D;8;9662
D;9;5234
D;10;8403
D;11;15944
D;12;8983
D;13;85066
D;14;30121
D;15;3324
D;16;12881
D;17;32375
D;18;8568
D;19;6822
D;21;21550
D;22;26865
D;23;4000
D;24;14155
D;25;19948
D;26;21384
D;27;20579
D;28;11467
D;29;39922
D;2A;5106
D;2B;5069
D;30;33188
D;31;79402
D;32;7544
D;33;75795
D;34;64698
D;35;51822
D;36;10995
D;37;29760
D;38;47452
D;39;11422
D;40;25576
D;41;11735
D;42;28459
D;43;4532
D;44;70492
D;45;24866
D;46;5390
D;47;13869
D;48;1064
D;49;39640
D;50;18422
D;51;18270
D;52;7295
D;53;13037
D;54;30791
D;55;4179
D;56;33203
D;57;37703
D;58;4642
D;59;93674
D;60;27004
D;61;8875
D;62;49907
D;63;21644
D;64;29369
D;65;10475
D;66;25171
D;67;42189
D;68;30238
D;69;89640
D;70;6616
D;71;20495
D;72;28424
D;73;19407
D;74;28701
D;75;66475
D;76;47144
D;77;49018
D;78;57292
D;79;22730
D;80;26793
D;81;15777
D;82;9706
D;83;68962
D;84;32413
D;85;35368
D;86;25549
D;87;18186
D;88;15301
D;89;10320
D;90;5789
D;91;44799
D;92;57826
D;93;39559
D;94;43896
D;95;43008
E;1;21382
E;2;13285
E;3;8809
E;4;7131
E;5;7206
E;6;32809
E;7;7901
E;8;6449
E;9;3942
E;10;8064
E;11;7571
E;12;8476
E;13;33870
E;14;31122
E;15;3620
E;16;7448
E;17;21703
E;18;8574
E;19;6674
E;21;18325
E;22;19660
E;23;3951
E;24;10249
E;25;17435
E;26;13939
E;27;20301
E;28;12140
E;29;33021
E;2A;2548
E;2B;2395
E;30;13616
E;31;39702
E;32;4597
E;33;28047
E;34;30833
E;35;31540
E;36;8885
E;37;21206
E;38;37056
E;39;8845
E;40;12728
E;41;10175
E;42;18387
E;43;3987
E;44;41310
E;45;23480
E;46;4660
E;47;9336
E;48;1371
E;49;25006
E;50;15945
E;51;16306
E;52;4659
E;53;13556
E;54;24473
E;55;3899
E;56;23481
E;57;26701
E;58;5229
E;59;68260
E;60;25641
E;61;9870
E;62;41958
E;63;18538
E;64;11884
E;65;7826
E;66;10715
E;67;36676
E;68;22205
E;69;54762
E;70;4551
E;71;17600
E;72;21212
E;73;18649
E;74;29129
E;75;62992
E;76;37128
E;77;41112
E;78;46840
E;79;16395
E;80;21992
E;81;10390
E;82;5579
E;83;31171
E;84;17562
E;85;28921
E;86;16856
E;87;13672
E;88;12301
E;89;10135
E;90;3649
E;91;38149
E;92;42528
E;93;33153
E;94;30261
E;95;35384
F;1;8035
F;2;6517
F;3;4446
F;4;4131
F;5;5775
F;6;9112
F;7;3477
F;8;2659
F;9;1870
F;10;3629
F;11;1809
F;12;3445
F;13;9059
F;14;13202
F;15;2534
F;16;2116
F;17;6796
F;18;3869
F;19;3764
F;21;8384
F;22;6585
F;23;2009
F;24;3912
F;25;7254
F;26;4467
F;27;7980
F;28;5612
F;29;11962
F;2A;859
F;2B;970
F;30;3442
F;31;9384
F;32;1822
F;33;6162
F;34;8296
F;35;8829
F;36;3924
F;37;6825
F;38;16441
F;39;3799
F;40;3335
F;41;4327
F;42;5969
F;43;2340
F;44;10916
F;45;9714
F;46;2114
F;47;3255
F;48;814
F;49;6710
F;50;7502
F;51;7541
F;52;1916
F;53;4081
F;54;10658
F;55;1919
F;56;7509
F;57;10845
F;58;3073
F;59;22341
F;60;10374
F;61;4912
F;62;17532
F;63;7688
F;64;2794
F;65;4230
F;66;4223
F;67;15849
F;68;8962
F;69;16779
F;70;1901
F;71;6921
F;72;7422
F;73;12851
F;74;17074
F;75;27724
F;76;13389
F;77;14770
F;78;16201
F;79;3585
F;80;8786
F;81;3484
F;82;1724
F;83;7527
F;84;4917
F;85;8490
F;86;4559
F;87;4920
F;88;4975
F;89;4781
F;90;1470
F;91;14013
F;92;14314
